State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Madhya Pradesh,KHANDWA,838909,57.14,Bharatiya Janata Party,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),23.5,80
Madhya Pradesh,KHARGONE,773550,54.19,Bharatiya Janata Party,GAJENDRA UMRAO SINGH PATEL,23.5,80
Madhya Pradesh,MANDLA,737266,48.59,Bharatiya Janata Party,FAGGAN SINGH KULASTE,23.5,80
Madhya Pradesh,MANDSOUR,847786,61.85,Bharatiya Janata Party,Sudheer Gupta,23.5,80
Madhya Pradesh,MORENA,541689,47.63,Bharatiya Janata Party,NARENDRA SINGH TOMAR,23.5,80
Madhya Pradesh,RAJGARH,823824,65.37,Bharatiya Janata Party,RODMAL NAGAR,23.5,80
Madhya Pradesh,RATLAM,696103,49.7,Bharatiya Janata Party,GUMAN SINGH DAMOR,23.5,80
Madhya Pradesh,REWA,583745,57.61,Bharatiya Janata Party,JANARDAN MISHRA,23.5,80
Madhya Pradesh,SAGAR,646231,62.31,Bharatiya Janata Party,RAJBAHADUR SINGH,23.5,80
Madhya Pradesh,SATNA,588753,52.87,Bharatiya Janata Party,GANESH SINGH,23.5,80
Madhya Pradesh,SHAHDOL,747977,60.43,Bharatiya Janata Party,HIMADRI SINGH,23.5,80
Madhya Pradesh,SIDHI,698342,54.44,Bharatiya Janata Party,Riti Pathak,23.5,80
Madhya Pradesh,TIKAMGARH,672248,61.3,Bharatiya Janata Party,Dr Virendra Kumar,23.5,80
Madhya Pradesh,UJJAIN,791663,63.21,Bharatiya Janata Party,ANIL FIROJIYA,23.5,80
Madhya Pradesh,VIDISHA,853022,68.23,Bharatiya Janata Party,Ramakant Bhargava,23.5,80
Maharashtra,Ahmadnagar,704660,58.54,Bharatiya Janata Party,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,20,76
Maharashtra,Akola,554444,49.53,Bharatiya Janata Party,Dhotre Sanjay Shamrao,20,76
Maharashtra,Amravati,510947,45.93,Independent,Navnit Ravi Rana,20,76
Maharashtra,Aurangabad,389042,32.47,All India Majlis-E-Ittehadul Muslimeen,Imtiaz Jaleel Syed,20,76
Maharashtra,Baramati,686714,52.63,Nationalist Congress Party,Supriya Sule,20,76
Maharashtra,Beed,678175,50.15,Bharatiya Janata Party,Pritam Gopinathrao Munde,20,76
Maharashtra,Bhandara - gondiya,650243,52.23,Bharatiya Janata Party,Sunil Baburao Mendhe,20,76
Maharashtra,Bhiwandi,523583,52.09,Bharatiya Janata Party,KAPIL MORESHWAR PATIL,20,76
Maharashtra,Buldhana,521977,46.59,Shivsena,Jadhav Prataprao Ganpatrao,20,76
Maharashtra,Chandrapur,559507,45.18,Indian National Congress,Balubhau alias Suresh Narayan Dhanorkar,20,76
Maharashtra,Dhule,613533,56.54,Bharatiya Janata Party,Bhamre Subhash Ramrao,20,76
Maharashtra,Dindori,567470,49.88,Bharatiya Janata Party,Dr. Bharati Pravin Pawar,20,76
Maharashtra,Gadchiroli-Chimur,519968,45.5,Bharatiya Janata Party,ASHOK MAHADEORAO NETE,20,76
Maharashtra,Hatkanangle,585776,46.78,Shivsena,Dhairyasheel Sambhajirao Mane,20,76
Maharashtra,Hingoli,586312,50.65,Shivsena,Hemant Patil,20,76
Maharashtra,Jalgaon,713874,65.6,Bharatiya Janata Party,Unmesh Bhaiyyasaheb Patil,20,76
Maharashtra,Jalna,698019,57.78,Bharatiya Janata Party,Danve Raosaheb Dadarao,20,76
Maharashtra,Kalyan,559723,62.87,Shivsena,Dr. SHRIKANT EKNATH SHINDE,20,76
Maharashtra,Kolhapur,749085,56.29,Shivsena,Sanjay Sadashivrao Mandlik,20,76
Maharashtra,Latur,661495,56.22,Bharatiya Janata Party,Sudhakar Tukaram Shrangare,20,76
