State,Constituency,Votes,Percentage,Party,Candidate,latitude,longitude
Kerala,Alathur,533815,52.4,Indian National Congress,RAMYA HARIDAS,10.6454,76.5458
Kerala,Attingal,380995,37.91,Indian National Congress,Adoor Prakash,8.698,76.8137
Kerala,Chalakudy,473444,47.81,Indian National Congress,BENNY BEHANAN,10.307,76.3341
Kerala,Ernakulam,491263,50.79,Indian National Congress,HIBI EDEN,9.9816,76.2999
Kerala,Idukki,498493,54.23,Indian National Congress,Adv. DEAN KURIAKOSE,10.3,76
Kerala,Kannur,529741,50.27,Indian National Congress,K. SUDHAKARAN,11.8745,75.3704
Kerala,Kasaragod,474961,43.18,Indian National Congress,Rajmohan Unnithan,12.4996,74.9869
Kerala,Kollam,499677,51.61,Revolutionary Socialist Party,N.K.Premachandran,8.8932,76.6141
Kerala,Kottayam,421046,46.25,Kerala Congress (M),Thomas Chazhikadan,9.5916,76.5222
Kerala,Kozhikode,493444,45.85,Indian National Congress,M.K.RAGHAVAN,11.2588,75.7804
Kerala,Malappuram,589873,57.01,Indian Union Muslim League,P.K. Kunhalikutty,9.2506,76.5401
Kerala,Mavelikkara,440415,45.36,Indian National Congress,KODIKUNNIL SURESH,9.2506,76.5401
Kerala,Palakkad,399274,38.83,Indian National Congress,V K SREEKANDAN,10.7867,76.6548
Kerala,Pathanamthitta,380927,37.11,Indian National Congress,ANTO ANTONY,9.2648,76.787
Kerala,Ponnani,521824,51.3,Indian Union Muslim League,E. T. Mohammed Basheer,10.7677,75.9259
Kerala,Thiruvananthapuram,416131,41.19,Indian National Congress,Dr. SHASHI THAROOR,8.5241,76.9366
Kerala,Thrissur,415089,39.84,Indian National Congress,T. N. PRATHAPAN,10.5276,76.2144
Kerala,Vadakara,526755,49.43,Indian National Congress,K. MURALEEDHARAN,11.6016,75.592
Kerala,Wayanad,706367,64.67,Indian National Congress,Rahul Gandhi,11.6854,76.132
Lakshadweep,Lakshadweep,22851,48.61,Nationalist Congress Party,MOHAMMED FAIZAL PP,10.5593,72.6358
Madhya Pradesh,BALAGHAT,696102,50.74,Bharatiya Janata Party,DR DHAL SINGH BISEN,21.8129,80.1838
Madhya Pradesh,BETUL,811248,59.74,Bharatiya Janata Party,DURGA DAS (D.D.) UIKEY,21.9012,77.896
Madhya Pradesh,BHIND,527694,54.93,Bharatiya Janata Party,SANDHYA RAY,26.57,78.77
Madhya Pradesh,BHOPAL,866482,61.54,Bharatiya Janata Party,SADHVI PRAGYA SINGH THAKUR,23.2599,77.4126
Madhya Pradesh,CHHINDWARA,587305,47.06,Indian National Congress,NAKUL KAMAL NATH,22.07,78.94
Madhya Pradesh,DAMOH,704524,60.51,Bharatiya Janata Party,PRAHALAD SINGH PATEL,23.85,79.44
Madhya Pradesh,DEWAS,862429,61.65,Bharatiya Janata Party,MAHENDRA SINGH SOLANKY,22.97,76.05
Madhya Pradesh,DHAR,722147,53.73,Bharatiya Janata Party,CHATTARSINGH DARBAR,22.6,75.29
Madhya Pradesh,GUNA,614049,52.11,Bharatiya Janata Party,KRISHNA PAL SINGH,24.65,77.3
Madhya Pradesh,GWALIOR,627250,52.44,Bharatiya Janata Party,VIVEK NARAYAN SHEJWALKAR,26.23,78.17
Madhya Pradesh,HOSHANGABAD,877927,69.35,Bharatiya Janata Party,UDAY PRATAP SINGH,22.75,77.71
Madhya Pradesh,INDORE,1068569,65.59,Bharatiya Janata Party,SHANKAR LALWANI,22.72,75.86
Madhya Pradesh,JABALPUR,826454,65.41,Bharatiya Janata Party,RAKESH SINGH,23.1815,79.9864
Madhya Pradesh,KHAJURAHO,811135,64.49,Bharatiya Janata Party,VISHNU DATT SHARMA,21.83,75.6
Madhya Pradesh,KHANDWA,838909,57.14,Bharatiya Janata Party,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),23.87,79
Madhya Pradesh,KHARGONE,773550,54.19,Bharatiya Janata Party,GAJENDRA UMRAO SINGH PATEL,23.5,80
Madhya Pradesh,MANDLA,737266,48.59,Bharatiya Janata Party,FAGGAN SINGH KULASTE,22.5979,80.3714
Madhya Pradesh,MANDSOUR,847786,61.85,Bharatiya Janata Party,Sudheer Gupta,24.0734,75.0679
Madhya Pradesh,MORENA,541689,47.63,Bharatiya Janata Party,NARENDRA SINGH TOMAR,24.07,75.07
Madhya Pradesh,RAJGARH,823824,65.37,Bharatiya Janata Party,RODMAL NAGAR,23.35,75.03
Madhya Pradesh,RATLAM,696103,49.7,Bharatiya Janata Party,GUMAN SINGH DAMOR,24.45,77.2
Madhya Pradesh,REWA,583745,57.61,Bharatiya Janata Party,JANARDAN MISHRA,23.6728,77
Madhya Pradesh,SAGAR,646231,62.31,Bharatiya Janata Party,RAJBAHADUR SINGH,23.5,80
Madhya Pradesh,SATNA,588753,52.87,Bharatiya Janata Party,GANESH SINGH,24.6005,80.8322
Madhya Pradesh,SHAHDOL,747977,60.43,Bharatiya Janata Party,HIMADRI SINGH,23.3,81.36
Madhya Pradesh,SIDHI,698342,54.44,Bharatiya Janata Party,Riti Pathak,23.58,81
Madhya Pradesh,TIKAMGARH,672248,61.3,Bharatiya Janata Party,Dr Virendra Kumar,24.74,78.83
Madhya Pradesh,UJJAIN,791663,63.21,Bharatiya Janata Party,ANIL FIROJIYA,23.1765,75.7885
Madhya Pradesh,VIDISHA,853022,68.23,Bharatiya Janata Party,Ramakant Bhargava,23.53,77.8
Maharashtra,Ahmadnagar,704660,58.54,Bharatiya Janata Party,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,19.0948,74.748
Maharashtra,Akola,554444,49.53,Bharatiya Janata Party,Dhotre Sanjay Shamrao,20.67321,77.01281
Maharashtra,Amravati,510947,45.93,Independent,Navnit Ravi Rana,20.932,77.7523
Maharashtra,Aurangabad,389042,32.47,All India Majlis-E-Ittehadul Muslimeen,Imtiaz Jaleel Syed,19.8762,75.3433
Maharashtra,Baramati,686714,52.63,Nationalist Congress Party,Supriya Sule,20.2,76.5
Maharashtra,Beed,678175,50.15,Bharatiya Janata Party,Pritam Gopinathrao Munde,18.99,75.76
Maharashtra,Bhandara gondiya,650243,52.23,Bharatiya Janata Party,Sunil Baburao Mendhe,20,76
Maharashtra,Bhiwandi,523583,52.09,Bharatiya Janata Party,KAPIL MORESHWAR PATIL,19.3,73.5
Maharashtra,Buldhana,521977,46.59,Shivsena,Jadhav Prataprao Ganpatrao,21.05,75.78
